fusedyear,fusedmonth,fusedday,fusedhour,toplam_yolcu
2020,1,20,17,22222
2020,1,20,19,17808
2020,1,20,20,8899
2020,1,20,21,5679
2020,1,20,22,4609
2020,1,20,23,2223
2020,1,21,0,93
2020,1,21,1,4
2020,1,21,2,4
2020,1,21,3,2
2020,1,21,4,2
2020,1,21,5,432
2020,1,21,6,4903
2020,1,21,7,17283
2020,1,21,8,22509
2020,1,21,9,13402
2020,1,21,10,9995
2020,1,21,11,11021
2020,1,21,12,12821
2020,1,21,13,14250
2020,1,21,14,14815
2020,1,21,15,14147
2020,1,21,16,16678
2020,1,21,19,18614
2020,1,21,20,9649
2020,1,21,21,6221
2020,1,21,22,5982
2020,1,21,23,3134
2020,1,22,0,113
2020,1,22,1,2
2020,1,22,2,7
2020,1,22,3,1
2020,1,22,4,1
2020,1,22,5,433
2020,1,22,6,4885
2020,1,22,7,16678
2020,1,22,8,22476
2020,1,22,9,13575
2020,1,22,10,10461
2020,1,22,11,11544
2020,1,22,12,13786
2020,1,22,13,14937
2020,1,22,14,14858
2020,1,22,15,14832
2020,1,22,16,17879
2020,1,22,19,19632
2020,1,22,20,10272
2020,1,22,21,7081
2020,1,22,22,6089
2020,1,22,23,3466
2020,1,23,0,111
2020,1,23,1,6
2020,1,23,2,3
2020,1,23,3,5
2020,1,23,4,3
2020,1,23,5,445
2020,1,23,6,4745
2020,1,23,7,16541
2020,1,23,8,22600
2020,1,23,9,13900
2020,1,23,10,10176
2020,1,23,11,10855
2020,1,23,12,12928
2020,1,23,13,14077
2020,1,23,14,14126
2020,1,23,15,13837
2020,1,23,16,16285
2020,1,23,19,18298
2020,1,23,20,9158
2020,1,23,21,6132
2020,1,23,22,5274
2020,1,23,23,3392
2020,1,24,0,117
2020,1,24,1,4
2020,1,24,2,2
2020,1,24,3,8
2020,1,24,5,403
2020,1,24,6,4536
2020,1,24,7,15700
2020,1,24,8,20852
2020,1,24,9,12557
2020,1,24,10,9623
2020,1,24,11,11079
2020,1,24,12,12879
2020,1,24,13,12933
2020,1,24,14,14541
2020,1,24,15,14608
2020,1,24,16,16665
2020,1,24,19,21065
2020,1,24,20,10791
2020,1,24,21,7223
2020,1,24,22,6549
2020,1,24,23,4335
2020,1,25,0,1612
