name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Istanbul,Turkey",2020-01-26,13,8.1,10.6,13,5.8,9.9,5.6,71.5,0,0,0,,,,28.4,18.4,204.2,1025,40.6,13.5,110.3,9.4,5,,2020-01-26T08:20:47,2020-01-26T18:12:34,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-27,14.8,9.1,11.7,14.8,8.5,11.7,5.7,67.1,0.18,100,4.17,rain,,0,18.4,7.9,149.1,1019.1,68.9,13.5,38.5,3.4,2,,2020-01-27T08:19:59,2020-01-27T18:13:48,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-28,11.2,7.1,9.3,11.2,6.3,8.8,7.7,90.2,6.04,100,12.5,rain,,,22.4,14.6,212.9,1013.7,74.3,10.3,48.7,4.3,2,,2020-01-28T08:19:09,2020-01-28T18:15:03,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-29,14.5,7.4,10.8,14.5,7,10.1,7.5,81.2,6.18,100,4.17,rain,,,37.1,19,209.3,1011.6,52,13.2,105.3,9.1,4,,2020-01-29T08:18:18,2020-01-29T18:16:18,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-30,9.4,5.5,7.2,9.4,4.1,6.1,5,86.5,14.78,100,12.5,rain,,1,16.6,12.7,228.1,1013.9,75.2,13,25.3,2.1,1,,2020-01-30T08:17:25,2020-01-30T18:17:32,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-31,9.9,2.8,6.7,7.6,0.9,4.8,1.3,69.6,0.14,100,4.17,rain,,0,29.5,22.7,249.9,1018.3,23.9,13,117.8,10.2,5,,2020-01-31T08:16:29,2020-01-31T18:18:47,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-01,13.9,9.4,11.1,13.9,6.9,10.3,6.2,72.4,0.34,100,4.17,rain,,0,27.7,22.5,238.3,1016,39.4,13.8,118.7,10.4,5,,2020-02-01T08:15:32,2020-02-01T18:20:03,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-02,15.9,8.4,12.1,15.9,7.5,11.9,7,71.8,0,0,0,,,0,13,13.4,243.5,1017.5,0,13.7,138.5,12,5,,2020-02-02T08:14:34,2020-02-02T18:21:18,0.27,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-03,15.2,10.5,12.9,15.2,10.5,12.9,9,77.5,0,0,0,,,0,22.3,17,244,1014.4,50.4,13.1,48,4.2,2,,2020-02-03T08:13:33,2020-02-03T18:22:33,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-04,15.2,9.8,13,15.2,9.8,13,10,82.4,2.68,100,8.33,rain,,0,40.7,18.7,216.9,1009.1,71.7,13.1,81.8,7.1,4,,2020-02-04T08:12:31,2020-02-04T18:23:48,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-05,15.1,8.4,12.3,15.1,6.8,12,9,81.2,19.36,100,12.5,rain,,0,37.9,34.2,175.7,993.7,74.2,10.7,64.9,5.5,4,,2020-02-05T08:11:28,2020-02-05T18:25:03,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17063099999,17119099999,17061099999,remote,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-06,9.8,2,4.9,8.1,-3,1.3,3.1,88.4,3.96,100,12.5,rain,,0,35,26.4,309.3,1007.3,90,9.9,81.1,7,4,,2020-02-06T08:10:23,2020-02-06T18:26:19,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-07,6.2,2.6,4,3.7,-2.2,1,-0.2,74.6,3.83,100,8.33,rain,,,27.7,21.6,234.5,1017.2,84.1,12.8,107.2,9.1,4,,2020-02-07T08:09:16,2020-02-07T18:27:34,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-08,2.8,-0.5,0.6,-1.3,-5.8,-3.7,-3.8,72.7,3.49,100,12.5,"rain,snow",,0,38.9,26.4,179.2,1027.3,85.8,12.2,119.3,10.3,5,,2020-02-08T08:08:07,2020-02-08T18:28:49,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-09,4.6,-0.3,1.7,3.1,-4,-0.5,-6.1,56.8,0,0,0,,,0.7,20.5,13.5,286.7,1032.7,47.3,12.9,128.5,11.2,5,,2020-02-09T08:06:58,2020-02-09T18:30:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-10,8.1,1.6,4.9,6,-1.5,2.3,-1.3,64.2,0,0,0,,,0,9.4,23.4,184.9,1025.8,15.6,13.8,149.9,12.9,6,,2020-02-10T08:05:46,2020-02-10T18:31:18,0.52,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-11,13.9,8.2,10.7,13.9,4.7,9.3,5.4,69.6,0.91,100,8.33,rain,,0,29.5,28.6,215.4,1011.2,76.1,12.9,116.9,10.1,5,,2020-02-11T08:04:34,2020-02-11T18:32:33,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-12,12.4,6.7,8.6,12.4,4,7.6,5.4,80.8,9.09,100,12.5,rain,,1,42.5,24.7,239.8,1016.2,70,12.8,126,10.8,5,,2020-02-12T08:03:20,2020-02-12T18:33:47,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-13,11.1,5.3,7.9,11.1,5,7.4,2.2,68.5,0,0,0,,,0,11.2,14.3,244.6,1024.2,9.9,13.8,167.5,14.5,6,,2020-02-13T08:02:04,2020-02-13T18:35:02,0.62,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
